rsi_period,entry,exit,stop,final,return_pct,trades,win_rate
8,51,70,0.01,882.5872771247948,-41.160848191680344,205,51.21951219512195
10,47,70,0.005,882.5523823481196,-41.16317451012536,217,34.56221198156682
10,52,68,0.007,882.2066015942139,-41.18622656038574,218,44.03669724770643
8,53,68,0.01,881.90436192428,-41.20637587171466,235,52.76595744680851
10,46,68,0.007,881.8522597695429,-41.209849348697134,188,42.5531914893617
10,57,68,0.007,881.6861340122653,-41.220924399182316,245,45.714285714285715
10,54,65,0.01,881.3385691582369,-41.24409538945088,229,55.021834061135365
8,53,70,0.01,881.2337294487346,-41.251084703417696,217,51.1520737327189
10,53,70,0.003,880.9875718624479,-41.267495209170136,320,29.375
10,53,69,0.003,880.8148420466817,-41.279010530221214,328,30.48780487804878
10,51,66,0.007,880.5446761474235,-41.29702159017177,228,46.92982456140351
10,51,68,0.005,880.520573411113,-41.29862843925913,247,37.65182186234818
8,48,69,0.007,879.8114199404641,-41.34590533730239,232,46.12068965517241
10,50,68,0.005,878.9275505312872,-41.40482996458085,241,36.92946058091287
8,48,64,0.01,878.8266735955992,-41.41155509362672,245,54.285714285714285
10,48,69,0.005,878.804309638009,-41.413046024132726,226,35.84070796460177
8,50,67,0.01,878.527916198502,-41.4314722534332,229,52.40174672489083
10,52,70,0.003,878.2428498109168,-41.45047667927221,307,28.990228013029316
8,47,70,0.007,878.2084380433039,-41.45277079711307,217,46.08294930875576
8,45,66,0.007,878.005042716563,-41.466330485562466,242,49.586776859504134
10,59,69,0.007,877.8937673404516,-41.473748843969894,254,45.2755905511811
8,46,64,0.01,877.5339824729543,-41.49773450180304,227,55.06607929515418
8,50,70,0.007,876.9839134318349,-41.534405771211006,234,46.15384615384615
8,46,66,0.007,876.7729460176308,-41.548470265491275,248,49.596774193548384
10,50,66,0.007,875.684635625529,-41.62102429163139,221,46.15384615384615
10,52,69,0.003,875.0296509478918,-41.66468993680721,314,29.936305732484076
8,45,69,0.007,874.4922139392991,-41.70051907071339,212,45.75471698113208
10,47,62,0.01,874.4089923712739,-41.70606717524841,196,51.53061224489795
8,45,68,0.007,874.2090512133014,-41.7193965857799,219,46.57534246575342
10,60,69,0.007,874.0627773599438,-41.72914817600375,257,45.525291828793776
10,53,63,0.01,874.0020090719701,-41.73319939520199,251,56.17529880478087
10,56,66,0.01,873.9562490169249,-41.736250065538336,224,52.23214285714286
10,55,66,0.01,873.800758973403,-41.7466160684398,220,51.81818181818182
8,49,66,0.01,873.6389797455106,-41.7574013502993,236,53.813559322033896
10,56,68,0.007,872.587636692304,-41.82749088717973,242,45.04132231404959
10,50,63,0.01,872.2979018009423,-41.846806546603844,218,54.58715596330275
10,45,70,0.003,871.6411694089401,-41.890588706070666,258,27.906976744186046
8,46,69,0.005,871.6256228305157,-41.891625144632286,250,40.8
10,59,68,0.01,871.504127111304,-41.899724859246405,226,50.442477876106196
